"Series";"Time";"Value"
"Potència activa";"2019-06-15T02:00:00+02:00";1095000
"Potència activa";"2019-06-15T14:00:00+02:00";729000
"Potència activa";"2019-06-16T02:00:00+02:00";1090000
"Potència activa";"2019-06-16T14:00:00+02:00";803000
"Potència activa";"2019-06-17T02:00:00+02:00";2203000
"Potència activa";"2019-06-17T14:00:00+02:00";748000
"Potència activa";"2019-06-18T02:00:00+02:00";2034000
"Potència activa";"2019-06-18T14:00:00+02:00";793000
"Potència activa";"2019-06-19T02:00:00+02:00";2057000
"Potència activa";"2019-06-19T14:00:00+02:00";721000
"Potència activa";"2019-06-20T02:00:00+02:00";2142000
"Potència activa";"2019-06-20T14:00:00+02:00";805000
"Potència activa";"2019-06-21T02:00:00+02:00";1983000
"Potència activa";"2019-06-21T14:00:00+02:00";812000
"Potència activa";"2019-06-22T02:00:00+02:00";1448000
"Potència activa";"2019-06-22T14:00:00+02:00";753000
"Potència activa";"2019-06-23T02:00:00+02:00";1075000
"Potència activa";"2019-06-23T14:00:00+02:00";826000
"Potència activa";"2019-06-24T02:00:00+02:00";1460000
"Potència activa";"2019-06-24T14:00:00+02:00";718000
"Potència activa";"2019-06-25T02:00:00+02:00";2418000
"Potència activa";"2019-06-25T14:00:00+02:00";787000
"Potència activa";"2019-06-26T02:00:00+02:00";2692000
"Potència activa";"2019-06-26T14:00:00+02:00";828000
"Potència activa";"2019-06-27T02:00:00+02:00";2555000
"Potència activa";"2019-06-27T14:00:00+02:00";851000
"Potència activa";"2019-06-28T02:00:00+02:00";2622000
"Potència activa";"2019-06-28T14:00:00+02:00";778000
"Potència activa";"2019-06-29T02:00:00+02:00";1503000
"Potència activa";"2019-06-29T14:00:00+02:00";774000
"Potència activa";"2019-06-30T02:00:00+02:00";1431000
"Potència activa";"2019-06-30T14:00:00+02:00";760000
"Potència activa";"2019-07-01T02:00:00+02:00";2701000
"Potència activa";"2019-07-01T14:00:00+02:00";896000
"Potència activa";"2019-07-02T02:00:00+02:00";2732000
"Potència activa";"2019-07-02T14:00:00+02:00";824000
"Potència activa";"2019-07-03T02:00:00+02:00";2638000
"Potència activa";"2019-07-03T14:00:00+02:00";824000
"Potència activa";"2019-07-04T02:00:00+02:00";2793000
"Potència activa";"2019-07-04T14:00:00+02:00";929000
"Potència activa";"2019-07-05T02:00:00+02:00";2688000
"Potència activa";"2019-07-05T14:00:00+02:00";940000
"Potència activa";"2019-07-06T02:00:00+02:00";1462000
"Potència activa";"2019-07-06T14:00:00+02:00";974000
"Potència activa";"2019-07-07T02:00:00+02:00";1402000
"Potència activa";"2019-07-07T14:00:00+02:00";894000
"Potència activa";"2019-07-08T02:00:00+02:00";3027000
"Potència activa";"2019-07-08T14:00:00+02:00";967000
"Potència activa";"2019-07-09T02:00:00+02:00";2804000
"Potència activa";"2019-07-09T14:00:00+02:00";965000
"Potència activa";"2019-07-10T02:00:00+02:00";2759000
"Potència activa";"2019-07-10T14:00:00+02:00";946000
"Potència activa";"2019-07-11T02:00:00+02:00";2736000
"Potència activa";"2019-07-11T14:00:00+02:00";896000
"Potència activa";"2019-07-12T02:00:00+02:00";2563000
"Potència activa";"2019-07-12T14:00:00+02:00";970000
"Potència activa";"2019-07-13T02:00:00+02:00";1399000
"Potència activa";"2019-07-13T14:00:00+02:00";946000
"Potència activa";"2019-07-14T02:00:00+02:00";1304000
"Potència activa";"2019-07-14T14:00:00+02:00";929000
"Potència activa";"2019-07-15T02:00:00+02:00";2471000
"Potència activa";"2019-07-15T14:00:00+02:00";924000
"Potència activa";"2019-07-16T02:00:00+02:00";2498000
"Potència activa";"2019-07-16T14:00:00+02:00";943000
"Potència activa";"2019-07-17T02:00:00+02:00";2516000
"Potència activa";"2019-07-17T14:00:00+02:00";968000
"Potència activa";"2019-07-18T02:00:00+02:00";2498000
"Potència activa";"2019-07-18T14:00:00+02:00";942000
"Potència activa";"2019-07-19T02:00:00+02:00";2331000
"Potència activa";"2019-07-19T14:00:00+02:00";903000
"Potència activa";"2019-07-20T02:00:00+02:00";1551000
"Potència activa";"2019-07-20T14:00:00+02:00";859000
"Potència activa";"2019-07-21T02:00:00+02:00";1172000
"Potència activa";"2019-07-21T14:00:00+02:00";887000
"Potència activa";"2019-07-22T02:00:00+02:00";2630000
"Potència activa";"2019-07-22T14:00:00+02:00";902000
"Potència activa";"2019-07-23T02:00:00+02:00";2679000
"Potència activa";"2019-07-23T14:00:00+02:00";934000
"Potència activa";"2019-07-24T02:00:00+02:00";2619000
"Potència activa";"2019-07-24T14:00:00+02:00";938000
"Potència activa";"2019-07-25T02:00:00+02:00";2713000
"Potència activa";"2019-07-25T14:00:00+02:00";983000
"Potència activa";"2019-07-26T02:00:00+02:00";2498000
"Potència activa";"2019-07-26T14:00:00+02:00";918000
"Potència activa";"2019-07-27T02:00:00+02:00";1468000
"Potència activa";"2019-07-27T14:00:00+02:00";899000
"Potència activa";"2019-07-28T02:00:00+02:00";1127000
"Potència activa";"2019-07-28T14:00:00+02:00";870000
"Potència activa";"2019-07-29T02:00:00+02:00";2266000
"Potència activa";"2019-07-29T14:00:00+02:00";881000
"Potència activa";"2019-07-30T02:00:00+02:00";2269000
"Potència activa";"2019-07-30T14:00:00+02:00";911000
"Potència activa";"2019-07-31T02:00:00+02:00";2133000
"Potència activa";"2019-07-31T14:00:00+02:00";792000
"Potència activa";"2019-08-01T02:00:00+02:00";2012000
"Potència activa";"2019-08-01T14:00:00+02:00";894000
"Potència activa";"2019-08-02T02:00:00+02:00";1993000
"Potència activa";"2019-08-02T14:00:00+02:00";801000
"Potència activa";"2019-08-03T02:00:00+02:00";1305000
"Potència activa";"2019-08-03T14:00:00+02:00";779000
"Potència activa";"2019-08-04T02:00:00+02:00";1034000
"Potència activa";"2019-08-04T14:00:00+02:00";845000
"Potència activa";"2019-08-05T02:00:00+02:00";2032000
"Potència activa";"2019-08-05T14:00:00+02:00";787000
"Potència activa";"2019-08-06T02:00:00+02:00";1899000
"Potència activa";"2019-08-06T14:00:00+02:00";819000
"Potència activa";"2019-08-07T02:00:00+02:00";1572000
"Potència activa";"2019-08-07T14:00:00+02:00";775000
"Potència activa";"2019-08-08T02:00:00+02:00";1499000
"Potència activa";"2019-08-08T14:00:00+02:00";830000
"Potència activa";"2019-08-09T02:00:00+02:00";1397000
"Potència activa";"2019-08-09T14:00:00+02:00";748000
"Potència activa";"2019-08-10T02:00:00+02:00";1202000
"Potència activa";"2019-08-10T14:00:00+02:00";728000
"Potència activa";"2019-08-11T02:00:00+02:00";970000
"Potència activa";"2019-08-11T14:00:00+02:00";815000
"Potència activa";"2019-08-12T02:00:00+02:00";1379000
"Potència activa";"2019-08-12T14:00:00+02:00";726000
"Potència activa";"2019-08-13T02:00:00+02:00";1214000
"Potència activa";"2019-08-13T14:00:00+02:00";703000
"Potència activa";"2019-08-14T02:00:00+02:00";1284000
"Potència activa";"2019-08-14T14:00:00+02:00";683000
"Potència activa";"2019-08-15T02:00:00+02:00";1047000
"Potència activa";"2019-08-15T14:00:00+02:00";721000
"Potència activa";"2019-08-16T02:00:00+02:00";1234000
"Potència activa";"2019-08-16T14:00:00+02:00";746000
"Potència activa";"2019-08-17T02:00:00+02:00";1022000
"Potència activa";"2019-08-17T14:00:00+02:00";711000
"Potència activa";"2019-08-18T02:00:00+02:00";860000
"Potència activa";"2019-08-18T14:00:00+02:00";747000
"Potència activa";"2019-08-19T02:00:00+02:00";1322000
"Potència activa";"2019-08-19T14:00:00+02:00";735000
"Potència activa";"2019-08-20T02:00:00+02:00";1318000
"Potència activa";"2019-08-20T14:00:00+02:00";756000
